generation,time,memory_usage_MB,cpu_usage_percent
0,0.23449110984802246,741.94921875,19.1
0,0.22735118865966797,743.125,5.5
0,0.3296988010406494,744.59375,3.0
0,0.2824265956878662,746.5625,14.9
0,0.16713213920593262,746.4921875,9.0
0,0.282076358795166,746.3671875,6.0
0,0.7202620506286621,746.359375,9.0
0,0.3039402961730957,746.34375,17.6
0,0.5125343799591064,746.328125,57.2
0,0.25675106048583984,746.91796875,58.5
0,0.2130298614501953,746.40625,5.5
0,0.10686397552490234,743.91796875,6.0
0,0.21630644798278809,745.39453125,4.4
0,0.2367725372314453,746.0625,6.5
0,0.09194326400756836,744.50390625,4.0
0,0.18402385711669922,745.8359375,3.0
0,0.1671140193939209,745.93359375,6.2
0,0.15122604370117188,745.93359375,3.0
0,0.11706805229187012,747.625,39.0
0,0.2705097198486328,747.7734375,56.4
0,0.42333269119262695,744.265625,35.2
0,0.657311201095581,745.5703125,8.5
0,0.20333576202392578,745.734375,6.9
0,0.1408863067626953,746.44921875,3.5
0,0.16993045806884766,746.44921875,4.0
0,0.2003781795501709,746.375,5.0
0,0.28777027130126953,746.6171875,6.0
0,0.1623833179473877,746.5625,3.5
0,0.1675567626953125,747.0546875,39.3
0,0.3096120357513428,747.28515625,57.4
0,0.3137040138244629,748.26953125,38.2
0,0.14638257026672363,748.26953125,4.0
0,0.13215231895446777,748.22265625,5.5
0,0.12871456146240234,748.22265625,6.8
0,0.1486647129058838,748.22265625,6.0
0,0.0978693962097168,748.22265625,4.5
0,0.12456703186035156,748.18359375,3.5
0,0.11739897727966309,748.18359375,5.5
0,0.12017989158630371,748.05859375,3.0
0,0.18462252616882324,748.77734375,47.5
0,0.7469298839569092,748.765625,54.0
0,0.2846248149871826,748.66796875,18.9
0,0.19696664810180664,748.88671875,8.5
0,0.12120985984802246,748.828125,7.5
0,0.2578120231628418,748.828125,4.0
0,0.20710968971252441,748.82421875,5.5
0,0.38608551025390625,748.86328125,4.0
0,0.14770221710205078,748.86328125,6.3
0,0.16676855087280273,748.86328125,3.5
0,0.10627532005310059,748.79296875,34.0
0,0.3238227367401123,749.0234375,57.0
0,0.3876025676727295,749.265625,40.1
0,0.3628711700439453,749.265625,3.5
0,0.32038426399230957,749.05078125,5.1
0,0.14919829368591309,749.02734375,3.5
0,0.1523745059967041,749.02734375,4.5
0,0.18942928314208984,749.01953125,5.4
0,0.268965482711792,749.01953125,6.0
0,0.20297694206237793,748.94921875,3.5
0,0.11374616622924805,747.23828125,22.2
0,0.3118875026702881,747.23828125,55.8
0,0.2386159896850586,747.69921875,57.8
0,0.1943356990814209,719.578125,11.6
0,0.5667538642883301,712.11328125,17.0
0,0.1595778465270996,713.046875,5.9
0,0.23766708374023438,712.7578125,5.0
0,0.39644551277160645,712.91796875,5.0
0,0.23933029174804688,712.6171875,6.1
0,0.3339557647705078,712.83203125,4.5
0,0.25594234466552734,696.4609375,35.2
0,0.3643803596496582,696.71875,56.0
