generation,time,memory_usage_MB,cpu_usage_percent
0,0.5106465816497803,717.046875,53.8
0,0.22653985023498535,717.02734375,5.0
0,0.1058354377746582,717.01953125,6.0
0,0.18810105323791504,717.01953125,3.5
0,0.18231678009033203,716.91015625,3.5
0,0.1280055046081543,716.54296875,4.0
0,0.1857929229736328,716.5390625,3.5
0,0.12697958946228027,717.26171875,4.0
0,0.1867690086364746,717.50390625,4.5
0,0.2548220157623291,723.796875,49.5
0,0.282667875289917,725.5078125,55.5
0,0.2627296447753906,729.1953125,26.3
0,0.18511247634887695,728.1484375,3.5
0,0.13161349296569824,727.95703125,3.0
0,0.15781521797180176,696.546875,10.6
0,0.1112205982208252,696.80859375,15.6
0,0.2574005126953125,694.8828125,3.0
0,0.3084595203399658,693.77734375,4.5
0,0.15533137321472168,693.6328125,3.5
0,0.1493542194366455,689.42578125,16.6
0,0.9075958728790283,689.8125,56.3
0,0.40482163429260254,691.87109375,34.8
0,0.09995150566101074,691.87109375,3.0
0,0.30263853073120117,691.87109375,4.5
0,0.23732781410217285,691.8671875,4.5
0,0.45415496826171875,691.7734375,5.0
0,0.19274497032165527,692.015625,4.0
0,0.11057686805725098,692.0078125,4.5
0,0.13805079460144043,692.0,5.9
0,0.14647269248962402,692.1796875,23.7
0,0.4267857074737549,692.3828125,55.5
0,0.26218438148498535,693.85546875,48.2
0,0.1656970977783203,693.84375,3.5
0,0.2997567653656006,693.83203125,2.5
0,0.27713847160339355,693.83203125,3.0
0,0.2304081916809082,694.05078125,5.0
0,0.18916702270507812,694.01171875,4.0
0,0.14609622955322266,694.01171875,4.0
0,0.13343453407287598,694.0078125,5.5
0,0.16573810577392578,694.0078125,4.0
0,0.2383565902709961,694.0078125,56.2
0,0.6351826190948486,693.98046875,56.0
0,0.25354862213134766,692.66015625,4.0
0,0.11444711685180664,692.640625,3.0
0,0.14647459983825684,692.33984375,3.5
0,0.17761564254760742,692.49609375,5.1
0,0.17838835716247559,692.953125,47.7
0,0.2843146324157715,694.06640625,56.0
0,0.6287205219268799,694.484375,16.2
0,0.1676621437072754,694.484375,4.5
0,0.30233287811279297,694.484375,56.7
0,0.9624645709991455,694.34765625,54.3
0,0.13234353065490723,694.30859375,4.5
0,0.1526036262512207,694.21875,7.0
0,0.11703300476074219,694.21875,5.5
0,0.1314694881439209,694.21875,4.0
0,0.1402897834777832,694.08984375,4.0
0,0.11857056617736816,694.08984375,3.0
0,0.42415332794189453,694.0390625,10.1
0,0.15215468406677246,694.0390625,3.5
0,0.17045903205871582,694.28515625,44.4
0,0.29435229301452637,694.234375,55.8
0,0.4933910369873047,694.234375,21.0
0,0.12470269203186035,694.22265625,3.5
0,0.2207939624786377,694.22265625,6.1
0,0.1227104663848877,694.16015625,3.5
0,0.2727646827697754,694.16015625,3.0
0,0.17738914489746094,694.16015625,3.0
0,0.113037109375,694.16015625,4.5
0,0.17339229583740234,694.12109375,3.5
0,0.1408705711364746,694.1171875,21.0
0,0.2694535255432129,694.1171875,55.8
0,0.28304076194763184,695.58984375,53.8
0,0.1320960521697998,695.58984375,3.0
0,0.24258828163146973,695.75,7.0
0,0.13952255249023438,695.734375,4.0
0,0.12901973724365234,695.734375,3.0
0,0.12711095809936523,695.609375,4.5
0,0.23608732223510742,695.56640625,4.0
0,0.17200088500976562,695.5078125,3.5
0,0.1653275489807129,695.48046875,4.5
0,0.25900936126708984,696.7109375,52.2
0,0.8534839153289795,696.58984375,55.8
0,0.5347669124603271,696.50390625,5.0
0,0.20488309860229492,696.50390625,3.5
0,0.12644171714782715,696.50390625,4.0
0,0.1274709701538086,696.171875,3.5
0,0.15465068817138672,696.171875,3.0
0,0.17995309829711914,696.16796875,5.5
0,0.14646100997924805,696.16796875,4.9
0,0.3078958988189697,696.16796875,3.5
0,0.2306671142578125,696.24609375,52.3
0,0.24919891357421875,696.46484375,54.5
0,0.2853047847747803,696.4609375,25.0
0,0.21665287017822266,696.70703125,5.0
0,0.3244893550872803,696.703125,3.5
0,0.14142155647277832,696.69140625,4.0
0,0.12246227264404297,696.640625,5.5
0,0.15726613998413086,696.6328125,4.0
0,0.1494288444519043,696.87890625,3.5
1,0.6987409591674805,697.97265625,55.0
1,0.9391450881958008,703.38671875,3.5
1,0.43801164627075195,703.38671875,6.0
1,0.33252668380737305,703.3359375,3.5
1,0.257293701171875,703.33203125,5.1
1,0.32864809036254883,703.20703125,4.5
1,0.2745201587677002,703.34765625,4.5
1,0.19430136680603027,703.328125,8.0
1,0.10615086555480957,704.921875,22.9
1,0.3069479465484619,705.15625,56.5
1,0.42897486686706543,706.578125,47.5
1,0.21776843070983887,706.51953125,6.6
1,0.24741387367248535,706.515625,2.5
1,0.2127232551574707,706.515625,4.0
1,0.3397090435028076,706.515625,3.5
1,0.2538325786590576,706.515625,6.0
1,0.20154333114624023,706.515625,5.0
1,0.3115053176879883,706.47265625,7.5
1,0.0946652889251709,710.609375,17.6
1,0.28191494941711426,711.56640625,55.8
1,0.4031248092651367,713.87109375,54.5
1,0.21490788459777832,712.53125,7.5
1,0.383469820022583,712.69140625,4.9
1,0.24805736541748047,712.52734375,5.0
1,0.21021056175231934,713.33984375,7.8
1,0.2977280616760254,710.98046875,4.0
1,0.16301512718200684,711.43359375,3.5
1,0.1528792381286621,711.27734375,3.5
1,0.35979342460632324,714.5703125,18.0
1,0.6867327690124512,714.76171875,55.8
1,0.27733397483825684,708.08984375,48.7
1,0.1646137237548828,708.55859375,3.0
1,0.20760846138000488,708.51953125,6.0
1,0.23162293434143066,708.73828125,3.0
1,0.20601320266723633,708.984375,5.6
1,0.20383477210998535,708.9765625,6.5
1,0.29799365997314453,708.9765625,3.0
1,0.2075061798095703,708.92578125,2.5
1,0.14957213401794434,708.92578125,7.5
1,0.43071484565734863,716.01953125,56.0
1,0.4422335624694824,715.98828125,56.1
1,0.2719690799713135,716.41015625,2.5
1,0.27947258949279785,716.6796875,4.0
1,0.13127660751342773,716.66796875,6.0
1,0.10789847373962402,716.66796875,3.5
1,0.10658979415893555,716.66796875,3.0
1,0.6818501949310303,716.86328125,4.0
1,0.19980406761169434,716.86328125,4.0
1,0.2786576747894287,717.3203125,13.0
1,0.25501251220703125,717.56640625,56.0
1,0.2717256546020508,717.984375,55.1
1,0.41602230072021484,717.92578125,7.8
1,0.15409016609191895,717.92578125,3.0
1,0.26227378845214844,717.91015625,4.0
1,0.18471407890319824,718.15625,6.5
1,0.11192011833190918,718.1015625,4.5
1,0.15733861923217773,718.1015625,6.0
1,0.14818930625915527,717.390625,3.0
1,0.2133491039276123,717.34375,6.0
1,0.2689485549926758,717.2109375,54.7
1,0.39107513427734375,717.2109375,55.5
1,0.27879905700683594,719.171875,14.1
1,0.20720577239990234,719.125,6.0
1,0.17860698699951172,719.125,3.5
1,0.2830328941345215,719.12109375,3.5
1,0.1461334228515625,719.12109375,3.0
1,0.10055255889892578,719.11328125,4.5
1,0.3113081455230713,719.32421875,4.0
1,0.2153317928314209,719.484375,5.0
1,0.1846921443939209,717.2109375,36.9
1,0.2964968681335449,718.66015625,55.5
1,0.2716100215911865,714.94921875,37.4
1,0.17966079711914062,715.40625,4.0
1,0.16463899612426758,715.28125,4.0
1,0.16404175758361816,714.640625,4.0
1,0.3639366626739502,715.1015625,3.5
1,0.24951386451721191,715.34765625,6.5
1,0.15417957305908203,715.05078125,3.5
