generation,time,memory_usage_MB,cpu_usage_percent
0,0.15559983253479004,732.63671875,4.0
0,0.1845226287841797,733.85546875,5.6
0,0.12839245796203613,748.484375,20.1
0,0.304302453994751,748.46875,54.5
0,0.320528507232666,757.0546875,55.0
0,0.18474149703979492,757.28125,5.5
0,0.19030380249023438,757.5234375,3.0
0,0.31195569038391113,759.0,4.0
0,0.15141558647155762,759.0,4.5
0,0.16572070121765137,758.87109375,4.0
0,0.1729755401611328,758.6796875,4.5
0,0.13462209701538086,758.6796875,4.5
0,0.17880487442016602,758.6796875,5.5
0,0.11971235275268555,762.90625,54.3
0,0.31542348861694336,764.00390625,56.0
0,0.3018655776977539,764.23046875,27.5
0,0.19150471687316895,764.23046875,3.0
0,0.1709575653076172,764.23046875,4.5
0,0.17356038093566895,764.23046875,6.0
0,0.14228153228759766,764.17578125,5.0
0,0.1699838638305664,764.17578125,3.0
0,0.17566299438476562,764.17578125,4.5
0,0.14279484748840332,764.17578125,3.5
0,0.15772724151611328,764.17578125,15.6
0,0.29102301597595215,764.13671875,56.1
0,0.2846951484680176,764.13671875,56.3
0,0.20337939262390137,764.13671875,4.0
0,0.18671679496765137,764.12109375,4.0
0,0.18977069854736328,764.0546875,3.5
0,0.1214902400970459,764.0546875,6.0
0,0.1705789566040039,764.03515625,5.1
0,0.14488530158996582,764.03515625,3.0
0,0.14451360702514648,764.02734375,8.1
0,0.17209601402282715,764.12109375,5.0
0,0.34572529792785645,763.078125,42.0
0,0.5828332901000977,762.87890625,55.8
0,0.27754688262939453,768.82421875,28.5
0,0.16988515853881836,769.05859375,4.0
0,0.13294506072998047,769.25,4.0
0,0.19677495956420898,769.125,4.5
0,0.1613771915435791,769.37109375,3.5
0,0.23394417762756348,769.37109375,4.5
0,0.13382530212402344,769.2734375,5.9
0,0.1746525764465332,769.234375,6.0
0,0.13492608070373535,767.98828125,12.0
0,0.40721678733825684,764.67578125,69.8
0,0.27533483505249023,764.89453125,54.3
0,0.26517176628112793,764.55859375,15.2
0,0.17082810401916504,763.77734375,5.0
0,0.12620186805725098,762.9921875,3.5
0,0.12761187553405762,763.44140625,5.1
0,0.11469864845275879,763.44140625,6.2
0,0.11335539817810059,763.375,4.0
0,0.16202330589294434,763.375,6.5
0,0.1154022216796875,763.6171875,5.9
0,0.17006731033325195,765.09375,17.6
0,0.2973923683166504,765.33984375,55.3
0,0.30185365676879883,765.3359375,56.8
0,0.12366747856140137,765.25390625,8.0
0,0.1754443645477295,765.25390625,5.5
